dist_x,dist_y,axis_y,vel_y,action
3,0,30,-4,0
2,2,36,5,1
7,-10,16,2,0
4,1,30,6,1
10,5,28,-2,1
6,1,24,5,1
2,1,21,6,1
-4,1,30,5,1
7,2,39,8,1
7,-5,15,4,0
0,1,36,5,1
11,1,37,-5,0
11,-3,30,4,1
16,0,13,1,1
7,2,21,-3,1
14,5,29,4,0
13,-2,35,-4,0
9,-5,12,-4,0
-2,1,32,5,1
8,-5,20,0,0
-4,-2,10,0,0
2,1,39,6,1
7,3,31,-6,0
6,1,38,-6,0
10,5,32,-5,0
-1,1,17,4,1
11,6,31,5,1
-2,0,22,4,0
8,2,42,6,1
-4,1,40,5,1
-1,1,22,4,1
-3,1,28,5,1
-1,2,41,6,1
2,-1,33,4,0
7,2,39,5,1
-3,-1,16,-4,0
11,-3,23,5,1
11,1,22,-2,0
-3,-1,24,4,0
2,0,14,-4,0
6,-1,27,1,0
3,-1,21,-3,0
-3,-2,28,-1,0
5,2,27,9,1
-2,1,40,5,1
0,-1,29,-5,0
7,2,18,6,1
4,-3,8,-2,0
7,2,19,5,1
11,3,24,4,0
2,1,28,4,1
8,-2,27,-2,0
9,0,25,2,1
-4,1,20,5,1
-3,-2,28,-1,0
8,0,33,-5,0
1,-1,23,1,0
4,0,32,-3,0
5,-2,21,0,0
5,-2,34,1,0
3,-2,32,2,0
9,0,29,0,0
10,4,40,4,1
4,2,37,-5,0
6,1,33,6,1
7,-2,25,0,0
4,-1,29,-1,0
-3,2,34,5,1
1,2,35,5,1
0,0,21,2,0
1,-1,15,-3,0
3,0,35,5,0
10,-13,11,0,0
-4,-2,23,-3,0
10,-10,15,0,0
2,0,33,-5,0
15,-1,35,5,1
2,1,32,5,1
3,0,15,-4,0
9,3,24,-1,1
-1,1,21,5,1
2,2,34,4,1
-3,2,38,5,1
0,1,30,4,1
5,1,34,-6,0
3,-2,30,2,0
-2,1,36,5,1
3,2,19,5,1
3,-2,33,1,0
7,0,14,4,0
-4,1,35,5,1
-4,1,26,5,0
7,1,37,8,1
11,0,19,2,0
11,1,36,6,1
11,3,22,5,1
0,-1,14,-2,0
-3,1,30,5,1
7,2,33,6,1
2,-1,33,-4,0
11,2,35,5,1
8,2,26,-6,0
10,1,26,6,1
11,9,33,5,1
9,5,28,-2,1
2,-1,22,1,0
4,2,19,6,1
-2,0,29,-5,0
-2,-1,27,-5,0
7,0,22,-2,0
8,-9,12,3,0
3,0,26,-5,0
9,6,35,-5,0
4,1,15,-5,0
10,8,39,5,1
7,2,22,-4,0
-1,-2,24,-2,0
0,-1,33,-2,0
1,2,20,5,1
-3,-1,29,-4,0
3,2,34,4,1
8,0,27,5,1
3,1,19,5,1
10,4,38,5,1
0,1,35,4,1
4,2,36,5,1
7,2,25,-1,1
10,-3,20,3,0
14,0,29,-5,0
7,2,39,5,1
11,-9,13,-1,0
8,2,30,-6,0
-3,-2,34,-3,0
0,1,22,5,1
2,1,41,5,1
6,-2,10,-1,0
-3,-1,22,3,0
9,7,33,0,1
6,1,38,8,1
2,2,33,5,1
13,0,22,4,0
10,5,34,-3,0
8,-9,21,3,0
2,2,34,5,1
5,-2,28,0,0
8,4,22,-4,0
9,0,15,5,1
9,5,28,-3,1
-1,1,38,4,1
2,-1,16,1,0
8,-1,25,1,0
7,3,31,-3,1
7,2,27,-2,1
2,1,31,6,1
-4,1,28,5,1
3,2,22,5,1
-4,0,22,4,1
7,0,35,-4,1
6,2,39,7,1
2,2,30,-5,0
-3,1,36,5,1
0,1,30,6,1
4,1,35,5,1
-4,-2,24,-1,0
4,-2,12,1,0
1,2,18,-1,1
9,7,31,-4,1
4,-2,19,1,0
6,2,21,7,1
2,-1,34,3,0
2,0,14,-5,0
10,2,37,5,1
3,-1,14,3,0
8,2,41,5,1
6,0,37,5,0
4,1,30,5,1
4,1,32,4,1
10,-3,22,-4,0
-4,1,36,5,1
4,1,22,4,1
9,2,21,-2,1
3,-1,32,3,0
6,0,12,-1,0
-3,2,35,5,1
6,1,34,6,1
-1,-1,30,-1,0
6,0,21,1,0
5,1,28,5,1
4,2,40,9,1
2,2,37,6,1
9,8,29,-1,0
7,2,23,5,1
9,-1,32,3,0
6,2,32,6,1
2,1,40,5,1
8,2,35,4,0
2,3,37,6,1
5,1,28,5,1
-4,1,34,5,1
6,2,21,6,1
9,5,29,-6,0
7,2,40,7,1
4,-2,21,1,0
-3,1,32,5,1
16,0,27,6,1
4,2,30,9,1
6,3,36,8,1
-2,1,27,6,1
-2,1,25,6,1
2,-2,22,-1,0
16,0,27,-2,0
0,1,17,6,1
-3,1,29,5,1
9,4,21,-4,0
0,1,21,5,1
15,5,25,-1,1
10,-3,21,5,1
5,1,28,4,1
4,1,28,6,1
1,0,38,3,0
9,1,24,3,0
6,2,40,6,1
-3,1,34,4,0
7,-3,18,-2,0
10,4,26,5,1
4,0,24,3,0
2,2,22,5,1
11,9,35,-4,0
-4,0,26,5,0
-1,-1,22,-4,0
-3,1,25,-6,0
1,1,17,4,1
7,2,19,-2,1
3,-1,15,-1,0
-3,0,33,-6,0
0,0,23,4,0
10,-1,30,-2,0
1,-1,18,-1,0
-1,1,34,5,1
8,3,25,-2,1
5,-2,16,-2,0
3,-2,31,0,0
0,2,23,5,1
3,2,26,5,1
-3,1,24,5,1
1,2,28,5,1
16,-1,27,-1,0
2,-1,17,-3,0
-4,1,18,5,1
2,0,27,-5,0
3,-2,27,-3,0
3,2,23,5,1
1,-2,20,1,0
0,2,41,6,1
1,1,18,4,1
6,2,30,-4,0
11,-3,26,-5,0
-1,2,38,6,1
9,1,21,-2,1
11,-4,9,1,0
3,1,37,5,0
-2,2,32,5,1
3,0,26,-3,0
0,-2,13,-3,0
4,0,23,-2,0
6,1,33,-5,0
10,2,35,4,1
9,-1,28,-2,0
3,-4,18,0,0
8,7,32,-3,1
-1,1,32,4,1
11,4,26,5,1
16,0,27,1,1
8,-1,23,-6,0
2,2,37,7,1
9,0,28,6,1
10,0,30,-2,0
-1,-2,24,-1,0
4,3,23,6,1
1,1,20,4,1
3,2,23,6,1
3,2,28,-6,0
8,2,29,5,1
-2,-1,22,1,0
5,-2,23,-2,0
-2,1,19,5,1
6,0,33,9,0
1,-1,15,-1,0
-3,1,25,5,1
6,-6,27,9,0
8,-1,29,1,0
3,1,17,4,1
1,-2,20,-2,0
-2,-2,21,-3,0
16,0,25,5,1
3,1,18,4,0
3,2,28,5,1
3,2,34,5,1
1,-2,23,0,0
9,-1,21,4,0
1,1,16,-6,0
9,1,38,-6,0
-1,-2,11,-2,0
6,-3,23,4,0
2,-1,30,-3,0
4,-2,23,0,0
4,-2,24,-1,0
7,1,33,4,1
5,1,34,8,1
10,2,35,4,1
1,2,32,4,1
6,-1,14,-3,0
10,1,35,6,1
6,-2,25,-3,0
6,0,30,-5,0
3,-1,17,-3,0
-4,0,26,5,0
0,0,37,4,0
10,8,34,3,1
4,0,26,7,1
1,0,30,-5,0
1,-2,13,0,0
1,2,42,5,1
7,2,28,5,1
16,0,21,3,1
16,0,30,4,1
8,-3,29,1,0
8,1,39,6,1
7,1,36,10,0
10,-3,26,2,0
7,-1,16,-3,0
7,-1,35,-4,0
-2,-1,28,3,0
-3,-1,24,-4,0
7,1,30,-6,0
9,-4,15,2,0
-3,1,38,5,1
16,0,35,7,1
10,-7,21,5,1
-1,1,30,4,1
10,-9,19,5,1
-2,1,27,5,1
7,1,29,6,1
4,0,18,-4,0
4,2,29,5,1
2,-1,28,3,0
-4,0,20,5,0
-2,2,28,6,1
11,-4,28,5,1
10,-4,23,-3,0
4,2,26,6,1
7,0,17,-5,0
7,1,32,7,1
-3,-1,25,-4,0
15,1,33,6,1
11,-5,27,-6,0
-2,-2,27,3,0
6,1,24,3,0
-2,1,18,5,1
8,0,27,-3,0
8,-1,26,-3,0
8,5,30,-3,1
-2,1,39,5,1
11,1,31,5,1
-3,2,36,5,1
4,0,18,-4,0
3,0,29,-5,0
-1,-1,21,-4,0
8,-8,21,-1,0
10,0,19,6,1
-3,-2,13,1,0
6,2,32,6,1
8,0,18,-3,1
10,5,26,3,1
11,-4,20,-2,0
-3,-2,33,0,0
2,0,17,-4,0
10,9,36,2,0
0,-2,21,1,0
6,2,34,7,1
-3,-2,10,-2,0
-4,1,35,5,1
-2,-2,32,-3,0
8,0,34,-6,0
7,1,28,8,1
11,-1,18,-4,0
1,2,30,6,1
7,2,20,-1,1
-3,-1,16,3,0
16,0,30,8,1
4,2,21,4,1
-1,-1,29,-5,0
-1,-2,10,-3,0
-2,-2,18,-3,0
-2,1,22,5,1
-4,1,25,5,1
5,2,36,6,1
-1,-1,16,2,0
4,1,34,4,1
10,2,28,3,0
8,-3,28,0,0
11,1,30,5,1
-4,0,37,-5,0
11,-2,20,-1,0
7,0,33,-5,0
-1,2,29,6,1
16,0,35,7,1
2,0,20,-5,0
3,1,40,5,1
3,2,41,6,1
5,2,23,6,1
0,0,19,3,0
4,1,22,2,0
2,-2,11,0,0
2,1,20,-5,0
-1,-2,13,-2,0
2,2,34,6,1
4,-1,36,2,0
10,3,36,4,1
12,1,26,2,0
2,1,16,6,1
10,-1,13,2,0
3,3,29,6,1
10,-3,8,-1,0
8,1,25,8,0
-4,-1,27,2,0
1,0,36,-4,0
9,3,32,3,0
-2,1,28,4,1
-4,0,13,4,0
-1,1,23,5,1
9,5,28,4,1
-4,1,29,6,1
10,-1,14,-3,0
3,2,39,6,1
9,-3,12,-1,0
0,1,23,4,1
1,0,32,-5,0
6,2,31,5,1
-4,-1,34,-3,0
-2,1,25,4,1
11,-1,35,-4,0
7,-11,12,3,0
15,-2,17,-3,0
2,2,29,6,1
-2,1,22,5,1
10,-2,19,2,0
6,0,21,1,0
0,-1,13,-2,0
0,-1,33,3,0
3,3,26,4,1
7,1,29,5,1
8,2,30,8,1
-4,0,17,5,1
10,2,21,-2,1
0,-2,21,-3,0
2,-2,26,-2,0
0,1,31,5,1
3,-2,18,-2,0
10,1,17,4,1
3,1,31,4,0
4,1,37,10,1
-3,-2,12,-2,0
4,2,29,6,1
16,0,26,5,1
9,-5,22,0,0
6,-1,21,-1,0
10,8,34,2,1
4,1,17,2,1
8,5,28,4,1
-2,1,36,5,1
3,-2,30,-2,0
-4,-1,35,-4,0
6,2,33,10,1
-3,-1,14,-4,0
15,-2,23,-3,0
-3,1,19,6,1
0,-1,29,-4,0
-3,1,26,5,1
-3,-2,16,-3,0
4,-2,32,-2,0
0,1,21,5,1
8,3,29,-6,0
2,2,19,5,1
4,0,14,-3,0
0,-1,20,2,0
0,1,40,-6,0
8,-8,21,-2,0
11,1,39,5,1
3,2,39,5,1
9,0,31,6,1
0,1,23,6,1
5,0,30,9,1
-3,1,18,5,1
-4,-2,22,-2,0
-1,1,16,4,1
-1,-2,27,0,0
7,1,26,-3,0
-3,-2,23,-3,0
-1,-2,24,1,0
2,2,29,-6,0
3,1,37,6,1
11,2,37,5,1
16,-8,10,-4,0
-4,-1,21,3,0
10,0,30,-1,0
2,2,30,6,1
14,-2,27,-4,0
3,1,30,5,1
-2,-2,23,-2,0
3,2,39,6,1
11,9,33,4,1
7,-4,28,1,0
16,0,37,6,1
1,-1,12,-2,0
8,8,32,2,1
7,0,19,-3,1
-1,-1,34,-1,0
5,0,23,-4,0
5,2,39,10,1
-4,1,25,5,1
1,-2,22,-1,0
0,-1,32,-5,0
14,-1,19,-2,0
0,2,18,5,1
11,1,32,5,1
-4,1,31,5,1
-1,1,31,4,1
8,2,22,2,1
7,1,19,-4,0
6,-3,32,0,0
6,2,39,11,1
13,-3,31,0,0
8,3,31,3,1
1,1,34,4,1
2,-1,29,1,0
-4,0,19,5,1
6,-1,28,-2,0
-3,-1,32,-4,0
-3,-2,27,-2,0
-3,1,36,6,1
-1,-1,36,3,0
0,1,32,4,1
10,-9,17,1,0
10,1,36,5,1
-3,1,16,5,1
4,2,37,11,1
7,4,39,9,1
2,1,21,5,1
-1,2,21,6,1
10,-1,13,-3,0
0,1,39,4,0
3,2,26,6,1
10,11,40,5,1
6,0,33,5,0
2,-2,28,-1,0
7,6,30,-3,1
-4,2,41,6,1
-4,1,35,5,1
5,-1,28,-5,0
-4,-2,18,2,0
10,6,32,0,1
8,3,26,-6,0
9,2,40,6,1
8,0,25,8,1
3,2,27,5,1
8,1,37,6,1
-4,-1,14,-2,0
5,-2,27,-2,0
4,-1,25,-1,0
5,2,33,6,1
3,-1,31,-4,0
10,5,24,-2,1
1,2,17,5,1
2,-2,15,-1,0
-4,-2,28,2,0
10,-5,26,1,0
8,2,25,5,1
6,-1,19,1,0
-3,-2,21,1,0
-1,-2,16,-2,0
4,1,38,5,1
10,4,39,5,1
2,0,26,-5,0
1,1,31,4,1
-4,-1,30,-3,0
4,2,34,8,1
2,-2,22,2,0
7,1,28,8,1
11,-1,20,0,0
3,2,33,5,1
0,0,35,4,0
10,5,28,-5,0
-3,-2,30,-2,0
7,-8,18,5,0
0,1,37,5,1
4,3,34,9,1
9,3,26,-2,1
11,-8,18,-5,0
3,1,22,5,1
3,0,14,-4,0
1,-3,31,1,0
2,1,19,6,1
-2,-2,29,-1,0
-1,2,17,6,1
8,0,17,-6,0
7,1,20,1,1
6,-2,14,-1,0
8,6,25,-3,1
15,1,38,9,1
-1,1,38,4,1
11,-9,15,-6,0
-3,1,24,5,1
-3,1,35,5,1
-1,-2,21,-1,0
-2,1,26,5,1
0,2,39,6,1
9,9,31,-3,1
9,-9,18,-2,0
11,10,37,5,1
-2,0,38,5,0
7,2,40,9,1
-1,-1,37,3,0
3,0,36,4,0
1,-1,15,-1,0
0,1,30,5,1
1,-1,21,1,0
0,-2,32,-2,0
-2,-2,25,-3,0
9,4,28,-6,0
-4,1,40,5,1
-4,-2,27,-2,0
-4,1,26,-6,0
7,2,26,-2,1
10,5,31,3,1
0,1,21,5,1
3,-2,21,-2,0
3,-1,32,-3,0
-3,-3,17,-1,0
3,1,21,5,1
14,8,37,-3,1
7,1,39,8,1
14,-1,15,1,0
7,2,37,7,1
7,4,28,-2,1
-1,-1,21,2,0
0,-1,13,1,0
3,0,16,2,0
5,2,22,4,1
-4,-2,29,2,0
-1,1,40,6,1
-1,1,24,5,1
6,3,23,-2,1
7,3,20,-1,1
14,2,19,0,1
6,2,42,12,1
-3,-2,32,-3,0
13,-3,20,0,0
1,1,28,5,1
9,-1,13,-5,0
-2,0,33,-5,0
-2,-2,21,2,0
5,-3,25,0,0
5,-1,26,-3,0
8,2,39,6,1
4,-2,30,-1,0
1,2,35,5,1
-4,1,37,5,1
7,1,34,5,1
10,5,26,-4,0
0,1,17,5,1
8,7,28,-3,1
8,2,28,6,1
11,-5,20,-2,0
-2,0,31,-6,0
9,7,35,2,1
1,1,31,5,1
4,2,19,6,1
3,2,37,5,1
1,2,29,6,1
-4,0,35,-5,0
6,-2,27,-1,0
-1,1,26,5,1
-4,1,26,5,1
7,3,28,8,1
-4,-1,23,-4,0
6,-2,33,-3,0
8,5,28,0,1
1,0,17,1,0
2,2,41,6,1
3,-1,28,4,0
-2,1,26,5,1
9,5,24,-3,1
7,-1,32,-3,1
0,1,27,4,1
7,-3,20,-4,0
-4,1,26,4,1
8,-2,33,-2,0
6,1,30,4,1
0,1,29,6,1
10,3,37,5,1
7,1,22,5,1
9,4,34,3,1
8,-8,10,3,0
6,2,37,6,1
0,1,24,5,1
10,9,34,-5,0
3,2,36,4,1
8,1,40,6,1
2,0,22,-5,0
8,0,26,-5,0
12,1,23,5,1
8,-4,20,3,0
2,1,32,6,1
9,-3,24,6,0
-1,2,33,5,1
-4,2,35,6,1
5,2,24,6,1
3,2,32,6,1
-4,-2,28,1,0
4,2,36,6,1
2,-3,31,-2,0
-3,1,37,5,1
5,3,36,11,0
9,3,29,2,0
-3,1,18,5,1
5,-1,20,0,0
10,5,35,4,1
0,0,28,-4,0
5,-2,23,0,0
-1,1,28,5,1
6,2,28,5,1
5,2,20,7,1
9,2,31,-5,0
10,3,22,5,1
-3,2,40,6,1
11,2,31,-2,0
7,-4,21,3,0
3,2,37,5,1
11,-1,32,3,0
1,-1,27,2,0
1,-1,26,0,0
1,-2,22,0,0
11,6,38,5,1
-2,2,39,5,1
-3,1,37,5,1
6,1,29,3,1
-4,0,20,-4,0
6,2,27,8,1
3,-2,15,-1,0
-2,1,40,5,1
2,-3,24,1,0
-4,0,30,5,1
0,1,36,-6,0
10,2,29,5,1
-1,2,27,6,1
-2,-1,15,-3,0
-1,1,42,7,1
16,0,35,5,1
12,-1,14,-5,0
10,3,28,5,1
2,2,24,7,1
8,2,26,-6,0
-3,0,16,5,0
-1,2,26,5,1
9,-12,13,3,0
5,0,18,-5,0
7,-2,32,5,0
16,12,39,5,1
1,1,36,6,1
11,4,24,5,1
5,1,18,-5,0
7,-7,20,2,0
-1,-2,15,2,0
12,2,24,5,1
8,2,27,-2,1
11,-4,13,2,0
9,-2,23,5,0
7,-5,16,-1,0
6,1,14,-6,0
4,0,33,-4,0
7,2,20,5,1
-2,2,28,5,1
11,3,24,5,1
6,1,37,7,1
-3,0,26,-5,0
5,3,42,11,1
-3,-1,14,-4,0
6,2,37,5,1
0,0,22,3,0
-3,-1,26,-4,0
4,-1,16,2,0
